those	1.7431407020489829
wrongs	2.6725596277632757
love	1.2575862797924577
old	1.198675067098614
angry	1.718317118323951
wanted	1.2833935433987433
punish	2.070499636435313
wicked	1.718317118323951
sons	1.8596462711204202
escape	1.9321969382690318
ship	1.8274615877490188
sailed	2.4964683687075944
wide	1.8274615877490188
sea	1.2575862797924577
nobody	3.5949967287431512
knew	1.2660194473293205
nobody	3.5949967287431512
cared	2.6725596277632757
old	1.198675067098614
gathered	2.019347113987932
together	1.0241996167823442
court	1.3825250164007576
kingdom	1.468439645107351
celebrate	2.070499636435313
wedding	1.5933783817156508
princess	1.0651046045486072
young	1.0441706977129641
old	1.198675067098614
noble	2.070499636435313
squire	2.4964683687075944
gentle	2.070499636435313
simple	2.070499636435313
summons	2.973589623427257
among	1.6311669426050506
fri	1.1043579036962807
